No Tiket,Nama Service,SID,Produk,Bandwith,Tiket Open,Tiket Close,Stop Clock (Durasi),Durasi (Jam),Durasi (Menit),Penyebab,Action,Kategori Layanan,Unit PLN Pengguna,Jenis Gangguan,Detail Gangguan,Lokasi Gangguan,source_file,penyebab_norm,Lokasi_GI,Lokasi_POP,Lokasi_KM,Lokasi_Risiko,kategori_risiko,bulan
EN36E6KL,[UIP3BS - UPT PEMATANG SIANTAR] GI ULPLTA ASAHAN I,990000320417302,IP VPN,1Mbps,2025-01-17 13:07:00,2025-01-17 17:37:00,0.0,0 days 04:30:00,270.0,"GANGGUAN PUTUS  CORE DIJARAK 6,3 KM DARI POP PORSEAACTION : PENYAMBUNGAN CORE",PENYAMBUNGAN CORE,NON SCADA,PLN UNIT INDUK P3B SUMATERA,PUTUS_FO,UNKNOWN,GI: - | POP: - | KM: 6.3,202501.xlsx,gangguan putus core dijarak 6 3 km dari pop porseaaction penyambungan core,,,6.3,,,2025-01
EN36RP79,[UID SUMUT - UP2D] UP2D SUMUT - GH KIM 1 (SCADA),1000162999,METRONET,2Mbps,2025-01-17 15:08:00,2025-01-17 19:40:00,0.0,0 days 04:32:00,271.9999999960419,GANGGUAN PUTUS KABEL FO DIJARAK 650 METER DARI POP PAYAPASIR KE ARAH LASTMILEACTION : BACKUP GSM ,BACKUP GSM,SCADA NON REDUNDANT,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,PUTUS_FO,UNKNOWN,GI: - | POP: PAYAPASIR | KM: -,202501.xlsx,gangguan putus kabel fo dijarak 650 meter dari pop payapasir ke arah lastmileaction backup gsm,,PAYAPASIR,,PAYAPASIR,High,2025-01
EN36ATH3,[UID SUMUT - UP3 BUKIT BARISAN] ULP TIGA BINANGA,990000020276723,IP VPN,1Mbps,2025-01-19 10:29:00,2025-01-19 17:20:00,0.0,0 days 06:51:00,410.999999998603,GANGGUAN PUTUS KABEL FO DI JARAK 44.3 KM DARI POP BRASTAGI KEARAH LASTMILE ACTION : PENYAMBUNGAN KABEL FO,PENYAMBUNGAN KABEL,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,PUTUS_FO,UNKNOWN,GI: - | POP: BRASTAGI | KM: 44.3,202501.xlsx,gangguan putus kabel fo di jarak 44 3 km dari pop brastagi kearah lastmile action penyambungan kabel fo,,BRASTAGI,44.3,BRASTAGI,High,2025-01
A0003696,[UID SUMUT - UP3 PADANG SIDEMPUAN] ULP NATAL (GEDUNG BARU),111205024971,IP VPN,1Mbps,2025-01-20 09:00:00,2025-01-20 09:02:00,0.0,0 days 00:02:00,1.999999996041879,GANGGUAN PUTUS KABEL FO DI JARAK 30 KM DARI POP KEBUN TIMUR KE ARAH POP NATAL BARUPERBAIKAN : PENYAMBUNGAN KABEL FO,PENYAMBUNGAN KABEL,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,PUTUS_FO,UNKNOWN,GI: - | POP: KEBUN TIMUR | KM: 30,202501.xlsx,gangguan putus kabel fo di jarak 30 km dari pop kebun timur ke arah pop natal baruperbaikan penyambungan kabel fo,,KEBUN TIMUR,30.0,KEBUN TIMUR,Low,2025-01
EN36GRYD,[UID SUMUT - UP3 SIBOLGA] ULP BARUS,990000020276908,IP VPN,1Mbps,2025-01-20 16:29:00,2025-01-20 19:41:00,0.0,0 days 03:12:00,192.0000000076834,GANGGUAN BENDING CORE DIJARAK 25 KM DARI POP RANTING BARUSACTION : PENYAMBUNGAN CORE,PENYAMBUNGAN CORE,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,PUTUS_FO,UNKNOWN,GI: - | POP: - | KM: 25,202501.xlsx,gangguan bending core dijarak 25 km dari pop ranting barusaction penyambungan core,,,25.0,,,2025-01
EN36GRTC,[UID SUMUT - UP3 SIBOLGA] KANTOR JAGA GH BUKIT,1000117854,IP VPN,512Kbps,2025-01-20 16:29:00,2025-01-20 19:41:00,0.0,0 days 03:12:00,192.0000000076834,GANGGUAN BENDING CORE DIJARAK 25 KM DARI POP RANTING BARUSACTION : PENYAMBUNGAN CORE,PENYAMBUNGAN CORE,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,PUTUS_FO,UNKNOWN,GI: - | POP: - | KM: 25,202501.xlsx,gangguan bending core dijarak 25 km dari pop ranting barusaction penyambungan core,,,25.0,,,2025-01
EN36XTSC,[UIP3BS - UPT PEMATANG SIANTAR] GI PANGURURAN,990000320496445,IP VPN,2Mbps,2025-01-22 12:25:00,2025-01-22 14:47:00,0.0,0 days 02:22:00,142.00000000186265,PENYEBAB :GANGGUAN MODUL SFP DI POP RANTING PANGURURANACTION : PERBAIKAN SFP,PERBAIKAN SFP,NON SCADA,PLN UNIT INDUK P3B SUMATERA,PERANGKAT,UNKNOWN,GI: - | POP: - | KM: -,202501.xlsx,penyebab gangguan modul sfp di pop ranting pangururanaction perbaikan sfp,,,,,,2025-01
EN36XRBA,[UID SUMUT - UP3 SIBOLGA] ULP BARUS,990000020276908,IP VPN,1Mbps,2025-01-22 12:49:00,2025-01-22 15:19:00,0.0,0 days 02:30:00,149.99999999650754,GANGGUAN :  GANGGUAN PUTUS  CORE  DI JARAK 20 KM DARI POP PAKKAT KE ARAH POP DOLOK SANGGULACTION :  MANUVER CORE,MANUVER CORE,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,PUTUS_FO,UNKNOWN,GI: - | POP: PAKKAT | KM: 20,202501.xlsx,gangguan gangguan putus core di jarak 20 km dari pop pakkat ke arah pop dolok sanggulaction manuver core,,PAKKAT,20.0,PAKKAT,High,2025-01
EN36XRM4,[UID SUMUT - UP3 SIBOLGA] KANTOR JAGA GH BUKIT,1000117854,IP VPN,512Kbps,2025-01-22 12:49:00,2025-01-22 15:19:00,0.0,0 days 02:30:00,149.99999999650754,GANGGUAN :  GANGGUAN PUTUS  CORE  DI JARAK 20 KM DARI POP PAKKAT KE ARAH POP DOLOK SANGGULACTION :  MANUVER CORE,MANUVER CORE,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,PUTUS_FO,UNKNOWN,GI: - | POP: PAKKAT | KM: 20,202501.xlsx,gangguan gangguan putus core di jarak 20 km dari pop pakkat ke arah pop dolok sanggulaction manuver core,,PAKKAT,20.0,PAKKAT,High,2025-01
EN36C6SX,[UID SUMUT - UP3 PEMATANG SIANTAR] ULP PEMATANG RAYA,1000181795,IP VPN,1Mbps,2025-01-22 15:24:00,2025-01-22 16:01:00,0.0,0 days 00:37:00,36.999999994877726,GANGGUAN PUTUS CORE DISISI JOINT BOX SISI POP GH RAYAACTION : PENYAMBUNGAN CORE,PENYAMBUNGAN CORE,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,PUTUS_FO,UNKNOWN,GI: - | POP: - | KM: -,202501.xlsx,gangguan putus core disisi joint box sisi pop gh rayaaction penyambungan core,,,,,,2025-01
EN3673BH,[UIP3BS - UP2B SUMBAGUT] GI SEI ROTAN GI TITI KUNING,111201002970,CLEAR CHANNEL,2Mbps,2025-01-21 15:38:00,2025-01-22 18:02:00,1218.0,0 days 06:06:00,365.9999999979045,GANGGUAN PUTUS KABEL FO DIJARAK 31 KM DARI POP PLTGU BELAWANACTION : PENYAMBUNGAN KABEL FO,PENYAMBUNGAN KABEL,SCADA NON REDUNDANT,PLN UNIT INDUK P3B SUMATERA,PUTUS_FO,UNKNOWN,GI: - | POP: - | KM: 31,202501.xlsx,gangguan putus kabel fo dijarak 31 km dari pop pltgu belawanaction penyambungan kabel fo,,,31.0,,,2025-01
EN36MWTA,[UID SUMUT] UP3 BINJAI,10000027240014,IP VPN,2Mbps,2025-01-23 08:38:00,2025-01-23 11:53:00,0.0,0 days 03:15:00,194.9999999965076,GANGGUAN PERANGKAT SWITCH DI SISI POP BINJAIACTION : PERBAIKAN PERANGKAT SWITCH,PERBAIKAN SWITCH,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,PERANGKAT,UNKNOWN,GI: - | POP: - | KM: -,202501.xlsx,gangguan perangkat switch di sisi pop binjaiaction perbaikan perangkat switch,,,,,,2025-01
EN3JWEQQ,[UIP3BS - UPT MEDAN] GI KUALA NAMU (SCADA),990000320324779,IP VPN,1Mbps,2025-01-23 15:51:00,2025-01-23 18:41:00,0.0,0 days 02:50:00,169.99999999883585,GANGGUAN LOSS POWER DI POP ODC GI KUALA NAMU AKIBAT MCB TRIP ACTION : PERBAIKAN MCB,PERBAIKAN MCB,SCADA NON REDUNDANT,PLN UNIT INDUK P3B SUMATERA,POWER,UNKNOWN,GI: - | POP: - | KM: -,202501.xlsx,gangguan loss power di pop odc gi kuala namu akibat mcb trip action perbaikan mcb,,,,,,2025-01
EN3JRL9R,[UID SUMUT - UP3 SIBOLGA] ULP BARUS,990000020276908,IP VPN,1Mbps,2025-01-24 08:13:00,2025-01-24 13:24:00,0.0,0 days 05:11:00,310.99999999743886,GANGGUAN JALUR DI POP AREA RANTING BARUSACTION : REROUTE JALUR,REROUTE JALUR,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,PUTUS_FO,UNKNOWN,GI: - | POP: - | KM: -,202501.xlsx,gangguan jalur di pop area ranting barusaction reroute jalur,,,,,,2025-01
EN3JRLNE,[UID SUMUT - UP3 SIBOLGA] KANTOR JAGA GH BUKIT,1000117854,IP VPN,512Kbps,2025-01-24 08:13:00,2025-01-24 13:24:00,0.0,0 days 05:11:00,310.99999999743886,GANGGUAN JALUR DI POP AREA RANTING BARUSACTION : REROUTE JALUR,REROUTE JALUR,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,PUTUS_FO,UNKNOWN,GI: - | POP: - | KM: -,202501.xlsx,gangguan jalur di pop area ranting barusaction reroute jalur,,,,,,2025-01
EN3JYYHD,[UIP3BS - UP2B SUMBAGUT] GI SEI ROTAN GI TITI KUNING,111201002970,CLEAR CHANNEL,2Mbps,2025-01-24 14:33:00,2025-01-24 17:50:00,0.0,0 days 03:17:00,197.0000000030268,GANGGUAN : GANGGUAN PUTUS KABEL FO DIJARAK 31 KM DARI POP BELAWANACTION : PENYAMBUNGAN KABEL FO,PENYAMBUNGAN KABEL,SCADA NON REDUNDANT,PLN UNIT INDUK P3B SUMATERA,PUTUS_FO,UNKNOWN,GI: - | POP: - | KM: 31,202501.xlsx,gangguan gangguan putus kabel fo dijarak 31 km dari pop belawanaction penyambungan kabel fo,,,31.0,,,2025-01
EN3JPQJE,[UID SUMUT - UP3 SIBOLGA] ULP BARUS,990000020276908,IP VPN,1Mbps,2025-01-25 10:54:00,2025-01-25 12:08:00,0.0,0 days 01:14:00,74.00000000023283,GANGGUAN : GANGGUAN JALUR SEGMENT AREA BARUS - SIBOLGAACTION : REROUTE JALUR,REROUTE JALUR,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,PUTUS_FO,UNKNOWN,GI: - | POP: - | KM: -,202501.xlsx,gangguan gangguan jalur segment area barus sibolgaaction reroute jalur,,,,,,2025-01
EN3JPQJ7,[UID SUMUT - UP3 SIBOLGA] KANTOR JAGA GH BUKIT,1000117854,IP VPN,512Kbps,2025-01-25 10:54:00,2025-01-25 12:08:00,0.0,0 days 01:14:00,74.00000000023283,GANGGUAN : GANGGUAN JALUR SEGMENT AREA BARUS - SIBOLGAACTION : REROUTE JALUR,REROUTE JALUR,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,PUTUS_FO,UNKNOWN,GI: - | POP: - | KM: -,202501.xlsx,gangguan gangguan jalur segment area barus sibolgaaction reroute jalur,,,,,,2025-01
EN3J3ES8,[UID SUMUT - UP3 PEMATANG SIANTAR] ULP PEMATANG RAYA,1000181795,IP VPN,1Mbps,2025-01-25 15:40:00,2025-01-25 17:12:00,0.0,0 days 01:32:00,91.99999999604188,PENYEBAB : GANGGUAN MODUL SFP DAN WIRING UTP DI SISI POP GH RAYAACTION : PERBAIKAN MODUL SFP DAN WIRING UTP,PERBAIKAN SFP,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,PERANGKAT,UNKNOWN,GI: - | POP: - | KM: -,202501.xlsx,penyebab gangguan modul sfp dan wiring utp di sisi pop gh rayaaction perbaikan modul sfp dan wiring utp,,,,,,2025-01
EN3JST5F,[UID SUMUT - UP2D] GUDANG PLN UP2D SUMUT,4000298410,INTERNET CORPORATE,5Mbps,2025-01-26 08:24:00,2025-01-27 16:53:00,1310.0,0 days 10:39:00,639.0000000037253,GANGGUAN PUTUS CORE DIJARAK 740 METER DARI LASTMILE TEPATNYA DI JOINTBOX MDNJ874ACTION : PENYAMBUNGAN CORE,PENYAMBUNGAN CORE,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,PUTUS_FO,UNKNOWN,GI: - | POP: - | KM: -,202501.xlsx,gangguan putus core dijarak 740 meter dari lastmile tepatnya di jointbox mdnj874action penyambungan core,,,,,,2025-01
EN3JZMZF,[UIP3BS - UPT MEDAN] GI PANGKALAN SUSU 275KV,990000320363741,IP VPN,1Mbps,2025-01-29 13:06:00,2025-01-29 16:27:00,0.0,0 days 03:21:00,201.000000005588,GANGGUAN BENDING CORE DIJARAK 6 KM DARI SISI POP PANGKALAN BRANDAN KEARAH POP PANGKALAN SUSUACTION : BACKUP VIA GSM,BACKUP GSM,NON SCADA,PLN UNIT INDUK P3B SUMATERA,PUTUS_FO,UNKNOWN,GI: - | POP: PANGKALAN BRANDAN | KM: 6,202501.xlsx,gangguan bending core dijarak 6 km dari sisi pop pangkalan brandan kearah pop pangkalan susuaction backup via gsm,,PANGKALAN BRANDAN,6.0,PANGKALAN BRANDAN,High,2025-01
EN3J8QQB,[UIP3BS - UPT MEDAN] GI PANGKALAN SUSU 275KV (SCADA),990000320363740,IP VPN,1Mbps,2025-01-29 13:07:00,2025-01-29 17:04:00,0.0,0 days 03:57:00,236.99999999720603,GANGGUAN BENDING CORE DIJARAK 6 KM DARI SISI POP PANGKALAN BRANDAN KEARAH POP PANGKALAN SUSUACTION : BACKUP VIA GSM,BACKUP GSM,SCADA NON REDUNDANT,PLN UNIT INDUK P3B SUMATERA,PUTUS_FO,UNKNOWN,GI: - | POP: PANGKALAN BRANDAN | KM: 6,202501.xlsx,gangguan bending core dijarak 6 km dari sisi pop pangkalan brandan kearah pop pangkalan susuaction backup via gsm,,PANGKALAN BRANDAN,6.0,PANGKALAN BRANDAN,High,2025-01
A0016990,[UID SUMUT - UP3 BINJAI] ULP PANGKALAN SUSU,990000020276729,IP VPN,1Mbps,2025-01-29 18:12:00,2025-01-30 20:34:00,1139.0,0 days 07:23:00,443.00000000186265,PENYEBAB: GANGGUAN BANDING CORE DIJARAK 21.7 KM DARI POP PANGKALAN SUSU KEARAH POP P BRANDANACTION: MANUVER CORE,MANUVER CORE,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,UNKNOWN,UNKNOWN,GI: - | POP: PANGKALAN SUSU | KM: 21.7,202501.xlsx,penyebab gangguan banding core dijarak 21 7 km dari pop pangkalan susu kearah pop p brandanaction manuver core,,PANGKALAN SUSU,21.7,PANGKALAN SUSU,High,2025-01
A0019284,[UID SUMUT - UP3 PADANG SIDEMPUAN] ULP NATAL (GEDUNG BARU),111205024971,IP VPN,1Mbps,2025-01-30 23:06:00,2025-01-30 23:14:00,0.0,0 days 00:08:00,7.999999994644895,PENYEBAB :  GANGGUAN JALUR SEGMENT POP KEBUN TIMUR - POP NATAL BARU IMPACT DARI ADANYA GANGGUAN PUTUS KABEL FO DIJARAK 37 KM DARI POP KEBUN TIMUR KEARAH POP NATAL BARUACTION :BACKUP GSM ,BACKUP GSM,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,PUTUS_FO,UNKNOWN,GI: - | POP: - | KM: 37,202501.xlsx,penyebab gangguan jalur segment pop kebun timur pop natal baru impact dari adanya gangguan putus kabel fo dijarak 37 km dari pop kebun timur kearah pop natal baruaction backup gsm,,,37.0,,,2025-01
EN3KEESX,[UID SUMUT - UP3 PEMATANG SIANTAR] ULP PEMATANG RAYA,1000181795,IP VPN,1Mbps,2025-01-31 14:19:00,2025-01-31 15:20:00,0.0,0 days 01:01:00,60.99999999976717,GANGGUAN PERANGKAT SWITCH DAN PERANGKAT MODUL SFP DI POP ODC UP3 PEMATANG SIANTARACTION = PERBAIKAN PERANGKAT SWITCH DAN MODUL SFP,PERBAIKAN SWITCH,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,PERANGKAT,UNKNOWN,GI: - | POP: - | KM: -,202501.xlsx,gangguan perangkat switch dan perangkat modul sfp di pop odc up3 pematang siantaraction perbaikan perangkat switch dan modul sfp,,,,,,2025-01
EM232W6H,[UIP3BS - UPT PADANG SIDEMPUAN] GI LABUHAN ANGIN (SCADA),990000320272581,IP VPN,1Mbps,2025-02-01 09:05:00,2025-02-01 11:51:00,0.0,0 days 02:46:00,166.0,PENYEBAB : GANGGUAN PUTUS CORE DISISI JOINTBOX GANGGUANTINDAKAN : PENYAMBUNGAN CORE,PENYAMBUNGAN CORE,SCADA NON REDUNDANT,PLN UNIT INDUK P3B SUMATERA,PUTUS_FO,UNKNOWN,GI: - | POP: - | KM: -,202502.xlsx,penyebab gangguan putus core disisi jointbox gangguantindakan penyambungan core,,,,,,2025-02
EM232QH7,[UIP3BS - UPT PADANG SIDEMPUAN] GI LABUHAN ANGIN,990000320307855,IP VPN,2Mbps,2025-02-01 09:09:00,2025-02-01 11:51:00,0.0,0 days 02:42:00,162.0,PENYEBAB : GANGGUAN PUTUS CORE DISISI JOINTBOX GANGGUANTINDAKAN : PENYAMBUNGAN CORE,PENYAMBUNGAN CORE,NON SCADA,PLN UNIT INDUK P3B SUMATERA,PUTUS_FO,UNKNOWN,GI: - | POP: - | KM: -,202502.xlsx,penyebab gangguan putus core disisi jointbox gangguantindakan penyambungan core,,,,,,2025-02
A0020522,[UIP3BS - UPT PADANG SIDEMPUAN] GI SIBUHUAN,1000155631,IP VPN,2Mbps,2025-02-01 08:30:00,2025-02-01 22:58:00,677.0,0 days 03:11:00,191.0,GANGGUAN : GANGGUAN PERANGKAT SWITCH DI SISI POP ODC SIBUHUANACTION : PERBAIKAN PERANGKAT SWITCH,PERBAIKAN SWITCH,NON SCADA,PLN UNIT INDUK P3B SUMATERA,PERANGKAT,UNKNOWN,GI: - | POP: - | KM: -,202502.xlsx,gangguan gangguan perangkat switch di sisi pop odc sibuhuanaction perbaikan perangkat switch,,,,,,2025-02
A0020521,[UID SUMUT - UP3 PADANG SIDEMPUAN] ULP SIBUHUAN,990000020276833,IP VPN,1Mbps,2025-02-01 16:12:00,2025-02-01 22:58:00,226.0,0 days 03:00:00,180.0,GANGGUAN : GANGGUAN PERANGKAT SWITCH DI SISI POP ODC SIBUHUANACTION : PERBAIKAN PERANGKAT SWITCH,PERBAIKAN SWITCH,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,PERANGKAT,UNKNOWN,GI: - | POP: - | KM: -,202502.xlsx,gangguan gangguan perangkat switch di sisi pop odc sibuhuanaction perbaikan perangkat switch,,,,,,2025-02
EM23ANEG,[UIP3BS - UPT MEDAN] GI PANGKALAN SUSU 275KV (SCADA),990000320363740,IP VPN,1Mbps,2025-02-02 06:44:00,2025-02-02 07:26:00,0.0,0 days 00:42:00,42.0,GANGGUAN : GANGGUAN PUTUS CORE DI JARAK 30 METER DAN 6 KM DARI SISI POP BRANDAN KE ARAH POP PANGKALAN SUSU AKIBAT CORE CRACKPERBAIKAN : BACK UP GSM,BACKUP GSM,SCADA NON REDUNDANT,PLN UNIT INDUK P3B SUMATERA,PUTUS_FO,UNKNOWN,GI: - | POP: BRANDAN | KM: 6,202502.xlsx,gangguan gangguan putus core di jarak 30 meter dan 6 km dari sisi pop brandan ke arah pop pangkalan susu akibat core crackperbaikan back up gsm,,BRANDAN,6.0,BRANDAN,High,2025-02
EM23ABVU,[UIP3BS - UPT MEDAN] GI PANGKALAN SUSU 275KV,990000320363741,IP VPN,1Mbps,2025-02-02 06:44:00,2025-02-02 07:26:00,0.0,0 days 00:42:00,42.0,GANGGUAN : GANGGUAN PUTUS CORE DI JARAK 30 METER DAN 6 KM DARI SISI POP BRANDAN KE ARAH POP PANGKALAN SUSU AKIBAT CORE CRACKPERBAIKAN : BACK UP GSM,BACKUP GSM,NON SCADA,PLN UNIT INDUK P3B SUMATERA,PUTUS_FO,UNKNOWN,GI: - | POP: BRANDAN | KM: 6,202502.xlsx,gangguan gangguan putus core di jarak 30 meter dan 6 km dari sisi pop brandan ke arah pop pangkalan susu akibat core crackperbaikan back up gsm,,BRANDAN,6.0,BRANDAN,High,2025-02
A0021284,[UID SUMUT - UP3 PADANG SIDEMPUAN] ULP KOTANOPAN,990000020276837,IP VPN,1Mbps,2025-02-02 07:22:00,2025-02-02 07:59:00,0.0,0 days 00:37:00,37.0,"GANGGUAN PUTUS CORE DI TITIK KOORDINAT (0.659652,99.718461)ACTION  : BACKUP GSM ",BACKUP GSM,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,PUTUS_FO,UNKNOWN,GI: - | POP: - | KM: -,202502.xlsx,gangguan putus core di titik koordinat 0 659652 99 718461 action backup gsm,,,,,,2025-02
A0022202,[UID SUMUT - UP3 BINJAI] ULP PANGKALAN SUSU,990000020276729,IP VPN,1Mbps,2025-02-02 07:25:00,2025-02-02 12:02:00,115.0,0 days 02:42:00,162.0,GANGGUAN PUTUS CORE DI JARAK 30 METER DAN 6 KM DARI POP PANGKALAN BRANDAN KE ARAH PANGKALAN SUSUACTION = MANUVER CORE,MANUVER CORE,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,PUTUS_FO,UNKNOWN,GI: - | POP: PANGKALAN BRANDAN | KM: 6,202502.xlsx,gangguan putus core di jarak 30 meter dan 6 km dari pop pangkalan brandan ke arah pangkalan susuaction manuver core,,PANGKALAN BRANDAN,6.0,PANGKALAN BRANDAN,High,2025-02
A0022203,[UID SUMUT - UP3 BINJAI] ULP PANGKALAN BRANDAN,990000020276731,IP VPN,1Mbps,2025-02-02 07:25:00,2025-02-02 12:02:00,115.0,0 days 02:42:00,162.0,GANGGUAN PUTUS CORE DI JARAK 30 METER DAN 6 KM DARI POP PANGKALAN BRANDAN KE ARAH PANGKALAN SUSUACTION = MANUVER CORE,MANUVER CORE,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,PUTUS_FO,UNKNOWN,GI: - | POP: PANGKALAN BRANDAN | KM: 6,202502.xlsx,gangguan putus core di jarak 30 meter dan 6 km dari pop pangkalan brandan ke arah pangkalan susuaction manuver core,,PANGKALAN BRANDAN,6.0,PANGKALAN BRANDAN,High,2025-02
A0022204,[UID SUMUT - UP3 BINJAI] ULP GEBANG,990000020276734,IP VPN,1Mbps,2025-02-02 07:25:00,2025-02-02 12:02:00,115.0,0 days 02:42:00,162.0,GANGGUAN PUTUS CORE DI JARAK 30 METER DAN 6 KM DARI POP PANGKALAN BRANDAN KE ARAH PANGKALAN SUSUACTION = MANUVER CORE,MANUVER CORE,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,PUTUS_FO,UNKNOWN,GI: - | POP: PANGKALAN BRANDAN | KM: 6,202502.xlsx,gangguan putus core di jarak 30 meter dan 6 km dari pop pangkalan brandan ke arah pangkalan susuaction manuver core,,PANGKALAN BRANDAN,6.0,PANGKALAN BRANDAN,High,2025-02
EM236G4C,[UID SUMUT - UP3 PEMATANG SIANTAR] ULP PEMATANG RAYA,1000181795,IP VPN,1Mbps,2025-02-03 17:20:00,2025-02-03 18:28:00,0.0,0 days 01:08:00,68.0,GANGGUAN MODUL SFP DISISI POP ODC.UP3.PEMATANGSIANTAR ACTION :  PERBAIKAN MODUL SFP,PERBAIKAN SFP,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,PERANGKAT,UNKNOWN,GI: - | POP: - | KM: -,202502.xlsx,gangguan modul sfp disisi pop odc up3 pematangsiantar action perbaikan modul sfp,,,,,,2025-02
A0024546,[UID SUMUT - UP3 SIBOLGA] KANTOR JAGA GH BUKIT,1000117854,IP VPN,512Kbps,2025-02-03 13:41:00,2025-02-03 19:40:00,210.0,0 days 02:29:00,149.0,PENYEBAB : GANGGUAN KABEL FO DI JARAK 11 KM DARI SISI LASTMILE KE ARAH POP RANTING BARUS ACTION : PENYAMBUNGAN KABEL FO,PENYAMBUNGAN KABEL,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,PUTUS_FO,UNKNOWN,GI: - | POP: RANTING BARUS | KM: 11,202502.xlsx,penyebab gangguan kabel fo di jarak 11 km dari sisi lastmile ke arah pop ranting barus action penyambungan kabel fo,,RANTING BARUS,11.0,RANTING BARUS,High,2025-02
A0024545,[UID SUMUT - UP3 SIBOLGA] ULP BARUS,990000020276908,IP VPN,1Mbps,2025-02-03 13:41:00,2025-02-03 19:40:00,210.0,0 days 02:29:00,149.0,PENYEBAB : GANGGUAN KABEL FO DI JARAK 11 KM DARI SISI LASTMILE KE ARAH POP RANTING BARUS ACTION : PENYAMBUNGAN KABEL FO,PENYAMBUNGAN KABEL,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,PUTUS_FO,UNKNOWN,GI: - | POP: RANTING BARUS | KM: 11,202502.xlsx,penyebab gangguan kabel fo di jarak 11 km dari sisi lastmile ke arah pop ranting barus action penyambungan kabel fo,,RANTING BARUS,11.0,RANTING BARUS,High,2025-02
A0026770,[UID SUMUT - UP3 PEMATANG SIANTAR] ULP PEMATANG RAYA,1000181795,IP VPN,1Mbps,2025-02-04 12:40:00,2025-02-04 16:38:00,0.0,0 days 03:58:00,238.0,GANGGUAN PUTUS CORE DI JARAK 500 METER DARI POP GI PEMATANG SIANTAR KE ARAH LASTMILE ACTION : PENYAMBUNGAN CORE,PENYAMBUNGAN CORE,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,PUTUS_FO,UNKNOWN,GI: PEMATANG SIANTAR | POP: GI PEMATANG SIANTAR | KM: -,202502.xlsx,gangguan putus core di jarak 500 meter dari pop gi pematang siantar ke arah lastmile action penyambungan core,PEMATANG SIANTAR,GI PEMATANG SIANTAR,,GI PEMATANG SIANTAR,High,2025-02
EM237JWT,[UID SUMUT - UP3 PADANG SIDEMPUAN] ULP SIPIROK,990000020276832,IP VPN,1Mbps,2025-02-04 12:40:00,2025-02-05 18:49:00,1535.0,0 days 04:34:00,274.0,PENYEBAB: GANGGUAN PUTUS KABEL FO DIJARAK 17 KM DAN 30 KM DARI POP SIDEMPUAN KEARAH POP SIPIROKACTION: PENYAMBUNGAN KABEL FO,PENYAMBUNGAN KABEL,NON SCADA,PLN UNIT INDUK DISTRIBUSI SUMATERA UTARA,PUTUS_FO,UNKNOWN,GI: - | POP: SIDEMPUAN | KM: 17,202502.xlsx,penyebab gangguan putus kabel fo dijarak 17 km dan 30 km dari pop sidempuan kearah pop sipirokaction penyambungan kabel fo,,SIDEMPUAN,17.0,SIDEMPUAN,High,2025-02
